Isin;Name;LegalName;ProviderCompanyName;CategoryName;Currency;SRRI;TER;ManagementFee;InitialPurchase;Rent2026YTD;Rent2025;Rent2024;Rent2023;Rent2022;Volatilidad1A
LU0950374610;BNP PARIBAS GLOBAL MEGATR;BNP PARIBAS GLOBAL MEGATRENDS P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.06;0.75;3000000;9.05;5.66;29.91;16.65;-17.98;13.9474
LU0823428932;PARVEST EQUITY INDIA CLAS;BNP PARIBAS INDIA EQUITY CLASSIC USD CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;2.21;1.75;100;-8.22;-11.76;19.43;16.04;-2.33;15.0098
LU0823429583;BNP PARIBAS INDIA EQUITY;BNP PARIBAS INDIA EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.21;0.9;3000000;-7.57;-10.87;20.65;17.19;-1.36;15.0142
LU0111445861;BNP PARIBAS JAPAN EQUITY;BNP PARIBAS JAPAN EQUITY P ACC JPY;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;JPY;4;1.06;0.75;3000000;32.44;17.12;13.15;15.95;-8.47;18.2985
LU1956163023;BNP PARIBAS SUSTAINABLE U;BNP PARIBAS RESPONSIBLE US MULTI-FACTOR EQUITY CLASSIC ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.46;1.5;100;16.26;2.05;28.83;12.32;-9.59;11.1256
LU1956163882;BNP PARIBAS SUSTAINABLE U;BNP PARIBAS RESPONSIBLE US MULTI-FACTOR EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;0.91;0.75;3000000;16.8;2.72;29.67;13.03;-9.02;11.131
LU0823417810;PARVEST EQUITY WORLD LOW;BNP PARIBAS SUSTAINABLE GLOBAL LOW VOL EQUITY CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;3;1.97;1.5;100;2.54;-5.89;14.93;8.49;-10.59;8.9815
LU0823418545;BNP PARIBAS SUSTAINABLE G;BNP PARIBAS SUSTAINABLE GLOBAL LOW VOL EQUITY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;3;1.07;0.75;3000000;3.2;-5.03;15.96;9.47;-9.78;8.9811
LU0823433932;PARVEST EQUITY TURKEY P E;BNP PARIBAS TURKEY EQUITY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;6;1.21;0.9;3000000;6.23;-20.58;43.29;10.48;115.69;23.1346
LU0012182399;PARVEST BOND USD SHORT DU;BNP PARIBAS USD SHORT DURATION BOND CLASSIC USD CAP;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;USD;2;0.81;0.5;500;3.18;-6.53;10.95;0.81;1.54;1.8177
LU0111478441;BNP PARIBAS USD SHORT DUR;BNP PARIBAS USD SHORT DURATION BOND P ACC USD;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;USD;2;0.51;0.25;3000000;3.41;-6.25;11.28;1.13;1.84;1.817
LU0117895796;JPM Emerging Europe Equit;JPM EMERGING EUROPE EQUITY D ACC EUR;JP MORGAN A.M.;RENTA VARIABLE INTERNACIONAL;EUR;5;2.8;;5000;0;0;0;-98.61;-34.2;0
LU1048652678;JPM EUROPE EQUITY A USD H;JPM EUROPE EQUITY A USD HDG ACC;JP MORGAN A.M.;RENTA VARIABLE EURO;USD;4;1.31;1;35000;14.33;11.98;15.35;13.25;-1.58;11.9177
LU1048653056;JPM EUROPE EQUITY C ACC U;JPM EUROPE EQUITY C ACC USD HEDGED;JP MORGAN A.M.;RENTA VARIABLE EURO;USD;4;0.71;0.5;10000000;14.82;12.65;16.04;13.96;-1.19;11.918
LU1048653304;JPM EUROPE EQUITY D USD H;JPM EUROPE EQUITY D USD HDG ACC;JP MORGAN A.M.;RENTA VARIABLE EURO;USD;4;2.06;1;5000;13.72;11.13;14.48;12.43;-2.5;11.9147
LU0722079638;JPM EUROPE STRATEGIC DIVI;JPM EUROPE STRATEGIC DIVIDEND FUND C-DIV DIS EUR;JP MORGAN A.M.;RENTA VARIABLE EURO;EUR;4;0.86;0.65;10000000;12.93;23.5;7.93;9.83;-12.11;11.1571
LU0329203573;JPM GLOBAL DIVIDEND D ACC;JPM GLOBAL DIVIDEND D ACC EUR;JP MORGAN A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.51;1.5;5000;7.06;2.78;14.22;;;8.4412
LU1002459144;JPM GLOBAL INCOME C DIS U;JPM GLOBAL INCOME C DIS USD HEDGED;JP MORGAN A.M.;GLOBAL;USD;3;0.76;0.6;10000000;4.9;-6.92;8.99;-1.16;-10.84;6.3441
LU0748075263;JPM GLOBAL INCOME D DIS U;JPM GLOBAL INCOME D DIS USD HEDGED;JP MORGAN A.M.;GLOBAL;USD;3;1.8;1.25;5000;4.12;-7.9;7.83;-2.17;-11.79;6.3422
LU0095623541;JPM GLOBAL MACRO OPPORTUN;JPM GLOBAL MACRO OPPORTUNITIES C ACC EUR;JP MORGAN A.M.;GLOBAL;EUR;3;0.76;0.6;10000000;0.13;-0.92;7.2;-1.08;-12.52;7.0549
LU1378862947;JPM GLOBAL MACRO OPPORTUN;JPM GLOBAL MACRO OPPORTUNITIES C ACC USD HEDGED;JP MORGAN A.M.;GLOBAL;USD;3;0.76;0.6;10000000;3.8;-10.55;15.64;-2.66;-4.93;7.0597
LU1400170350;JPM GLOBAL MACRO OPPORTUN;JPM GLOBAL MACRO OPPORTUNITIES D ACC USD HEDGED;JP MORGAN A.M.;GLOBAL;USD;3;2.18;1.25;5000;2.77;-11.8;14;-4.02;-6.24;7.0598
LU1663963012;CREDIT SUISSE (LUX) ROBOT;UBS (LUX) AI AND ROBOTICS EQUITY K-1 ACC EUR HEDGED;UBS AM SWITZERLAND AG;RENTA VARIABLE INTERNACIONAL;EUR;5;1.18;1;500000;9.6;5.55;2.76;26.7;-35.03;22.3244
LU1683285834;CREDIT SUISSE (LUX) DIGIT;UBS (LUX) DIGITAL HEALTH EQUITY K-1 ACC EUR HEDGED;UBS AM SWITZERLAND AG;RENTA VARIABLE INTERNACIONAL;EUR;5;1.19;1;500000;2.56;9.01;-7.94;5.72;-38.12;19.752
LU1683285750;CREDIT SUISSE (LUX) DIGIT;UBS (LUX) DIGITAL HEALTH EQUITY K-1 ACC USD;UBS AM SWITZERLAND AG;RENTA VARIABLE INTERNACIONAL;USD;5;1.15;0.9;500000;5.98;-1.2;0.14;5.48;-31.89;19.7053
LU1039938227;Henderson Horizon Eurolan;JANUS HENDERSON HORIZON EUROLAND A2 USDHDG ACC;JANUS HENDERSON INV EUROP;RENTA VARIABLE EURO;USD;4;1.87;1.2;2500;19.62;10.01;17.67;19.55;-6.98;11.7474
LU1183228433;JANUS HENDERSON HORIZON E;JANUS HENDERSON HORIZON EUROLAND I2 USDHDG ACC;JANUS HENDERSON INV EUROP;RENTA VARIABLE EURO;USD;4;1;1;1000000;20.25;10.88;18.65;20.3;-6.21;11.7699
LU2505548938;JANUS HENDERSON HORIZON G;JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS A2 ACC EUR HEDGED;JANUS HENDERSON INV EUROP;RENTA VARIABLE INTERNACIONAL;EUR;5;1.87;1.2;2500;22.41;20.17;30.36;46.78;;25.2089
LU0196034663;JANUS HENDERSON H. PAN EU;JANUS HENDERSON HORIZON PAN EUROP SMALL AND MIDCAP I2  EUR ACC;JANUS HENDERSON INV EUROP;RENTA VARIABLE INTERNACIONAL;EUR;4;1;1;1000000;12.48;14.91;4.78;8.94;-14.45;14.5808
LU1088683765;UBAM ABSOLUTE RETURN FIXE;UBAM GLOBAL FLEXIBLE BOND APC ACC EUR;UBP ASSET MANAGEMENT;RENTA FIJA INTERNACIONAL;EUR;2;0.92;0.65;100;-2.47;5.12;-0.08;6.3;-6.22;4.9049
LU0048292394;BL GLOBAL 30 B ACC EUR;BL GLOBAL 30 B ACC EUR;BANQUE INTERNATIONALE LUX;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.55;1.25;100;2.37;11.53;8.01;3.09;-6.84;7.4812
LU0280438309;PICTET ASIAN LOCAL CURREN;PICTET ASIAN LOCAL CURRENCY DEBT P EUR;PICTET FUNDS;RENTA FIJA INTERNACIONAL;EUR;3;1.58;2.1;100;-2.06;-7.47;5.83;-1.96;1.13;4.7247
LU0170994346;PICTET GLOBAL EMERGING DE;PICTET GLOBAL EMERGING DEBT HP EUR;PICTET FUNDS;RENTA FIJA INTERNACIONAL;EUR;3;1.42;1.45;300;-0.34;12.5;4.98;5.18;-18.62;6.3493
LU0128467544;PICTET GLOBAL EMERGING DE;PICTET GLOBAL EMERGING DEBT P ACC USD;PICTET FUNDS;RENTA FIJA INTERNACIONAL;USD;3;1.37;1.45;100;3.36;1.82;13.69;3.88;-11.32;6.3811
LU0448623875;PICTET US HIGH YIELD HP E;PICTET GLOBAL HIGH YIELD HP EUR;PICTET FUNDS;RENTA FIJA INTERNACIONAL;EUR;2;0.76;1.45;100;0.9;6.72;6.32;8.94;-15.63;2.8225
LU1368233026;PICTET MULTI ASSET GLOBAL;PICTET MULTI ASSET GLOBAL OPPORTUNITIES HP ACC USD HEDGED;PICTET FUNDS;GLOBAL;USD;3;1.26;1.35;100;4.87;-3.87;17.96;5.52;-4.79;5.0946
LU0503635202;PICTET SMARTCITY P USD AC;PICTET SMARTCITY P USD ACC;PICTET FUNDS;RENTA VARIABLE INTERNACIONAL;USD;4;1.97;2.4;100;4.46;-6.92;12.22;13.71;-26.14;13.4488
LU0372507243;PICTET TIMBER HP EUR ACC;PICTET TIMBER HP EUR ACC;PICTET FUNDS;RENTA VARIABLE INTERNACIONAL;EUR;4;2.05;2.4;100;-4.96;-10.18;-7.45;12.46;-21.41;18.5643
FR00140081Y1;CARMIGNAC CREDIT 2027 A A;CARMIGNAC CREDIT 2027 A ACC EUR;CARMIGNAC GESTION LUXEMBO;IIC OBJETIVO RENTABILIDAD NO GARANTIZADO;EUR;2;1.04;0.9;100;0.39;3.52;7.23;12.77;;1.1511
LU1299303229;CARMIGNAC PORTFOLIO EMERG;CARMIGNAC PORTFOLIO EMERGENTS A ACC EUR;CARMIGNAC GESTION LUXEMBO;GLOBAL;EUR;4;1.8;1.5;100;24.1;22.83;4.81;9.21;-14.8;20.1156
LU1299303575;CARMIGNAC PORTFOLIO EMERG;CARMIGNAC PORTFOLIO EMERGENTS A ACC USD HEDGED;CARMIGNAC GESTION LUXEMBO;GLOBAL;USD;4;1.8;1.5;225;27.74;10.56;13.06;6.89;-8.16;19.76
LU1882462739;AMUNDI FUNDS EMERGING MAR;AMUNDI FUNDS EMERGING MARKETS SHORT TERM BOND A2 EUR HGD;AMUNDI FUNDS;RENTA FIJA INTERNACIONAL;EUR;2;1.45;1.1;100;1.38;2.73;15.69;7.64;-16.26;4.203
LU1882462812;AMUNDI FUNDS EMERGING MAR;AMUNDI FUNDS EMERGING MARKETS SHORT TERM BOND A2 USD;AMUNDI FUNDS;RENTA FIJA INTERNACIONAL;USD;2;1.45;1.1;100;4.99;-7.16;25.14;6.07;-9.01;4.2234
LU0616241476;AMUNDI FUNDS EURO AGGREGA;AMUNDI FUNDS EURO AGGREGATE BO A ACC EUR;AMUNDI FUNDS;RENTA FIJA EURO;EUR;2;1.11;0.8;100;-3.1;1.8;3.23;6.48;-16.72;3.5582
LU1941682681;AMUNDI FUNDS MULTI-ASSET;AMUNDI FUNDS MULTI-ASSET CONSERVATIVE RESPONSIBLE A ACC USD;AMUNDI FUNDS;RENTA VARIABLE MIXTA INTERNACIONAL;USD;3;1.45;1.2;100;2.12;1.86;4.97;7.12;-14.23;8.7435
LU1941682095;AMUNDI FUNDS MULTI-ASSET;AMUNDI FUNDS MULTI-ASSET CONSERVATIVE RESPONSIBLE A EUR INC;AMUNDI FUNDS;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.45;1.2;100;1.52;1.29;5.28;7.21;-13.94;5.2293
LU1883866011;AMUNDI FUNDS REAL ASSETS;AMUNDI FUNDS REAL ASSETS TARGET INCOME A2 EUR;AMUNDI FUNDS;GLOBAL;EUR;3;1.78;1.5;100;14.37;4.86;6.19;0.08;-0.24;8.0454
LU2146567289;AMUNDI FUNDS PIONEER US E;AMUNDI FUNDS US EQUITY SELECT A ACC USD;AMUNDI FUNDS;RENTA VARIABLE INTERNACIONAL;USD;4;1.63;1.35;100;12.75;3.76;18.55;7.17;-7.98;11.5246
FR0010820332;AMUNDI RENDEMENT PLUS PC;AMUNDI RENDEMENT PLUS RESPONSABLE P ACC EUR;AMUNDI FUNDS;RENTA FIJA INTERNACIONAL;EUR;2;1.07;0.17;100;0.98;4.82;4.52;6.7;-9.81;4.1817
LU1095740236;FIRST EAGLE AMUNDI INCOME;FIRST EAGLE AMUNDI INCOME BUILDER AHE ACC EUR HEDGED;AMUNDI FUNDS;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.85;1.6;100;6.96;20.59;2.09;5.43;-9.71;10.2746
LU1245470759;FLOSSBACH VON STORCH -MUL;FLOSSBACH VON STORCH -MULTI ASSET - BALANCED RT ACC EUR;FLOSSBACH VON STORCH;RENTA FIJA MIXTA INTERNACIONAL;EUR;3;1.61;1.465;100;0.3;5.45;10.01;8.71;-12.22;6.4129
LU1245470163;FLOSSBACH VON STORCH -MUL;FLOSSBACH VON STORCH -MULTI ASSET - DEFENSIVE RT ACC EUR;FLOSSBACH VON STORCH;RENTA FIJA MIXTA INTERNACIONAL;EUR;2;1.62;1.465;100;-0.66;4.84;7.02;6.8;-10.15;4.898
LU1245469744;FLOSSBACH VON STORCH - MU;FLOSSBACH VON STORCH MULTIPLE OPPORTUNITIES II ET ACC EUR;FLOSSBACH VON STORCH;GLOBAL;EUR;3;2.03;1.865;100;-0.78;2.16;8.9;8.65;-13.4;8.6959
LU1951224077;NATIXIS THEMATICS SAFETY;MIROVA THEMATIC SAFETY HR ACC EUR HEDGED;NATIXIS INVESTMENTS MAN.;RENTA VARIABLE INTERNACIONAL;EUR;5;2.05;2;1000;11.16;1.15;8.54;25.9;-37.83;16.1784
LU1923622291;NATIXIS THEMATICS SAFETY;MIROVA THEMATIC SAFETY R ACC USD;NATIXIS INVESTMENTS MAN.;RENTA VARIABLE INTERNACIONAL;USD;5;2.05;2;1000;15.45;-8.28;17.46;24.41;-31.23;16.1502
IE0033759436;MUZINICH ENHANCEDYIELD SH;MUZINICH ENHANCEDYIELD SHORT-TERM A ACC USD HEDGED;MUZINICH & CIE LTD;RENTA FIJA INTERNACIONAL;USD;0;0.59;0.45;20000000;3.9;-6.04;12.97;3.25;1.81;1.5012
LU0203937692;UBS (LUX) BOND SICAV - CO;UBS (LUX) BOND SICAV - CONVERT P ACC EUR;UBS AM (EUROPE) S.A;RENTA FIJA INTERNACIONAL;EUR;3;1.87;1.44;100;7.46;13.2;4.25;9.3;-18.45;9.3232
LU0151774972;UBS (LUX) BOND SICAV - SH;UBS (LUX) BOND SICAV - SHORT TERM USD CORPORATES P ACC USD;UBS AM (EUROPE) S.A;RENTA FIJA INTERNACIONAL;USD;2;0.88;0.65;100;2.5;-6.92;11.6;1.61;1.61;1.2004
LU0455556406;UBS (LUX) BOND SICAV-GLOB;UBS (LUX) BOND SICAV-GLOBAL INFLATION-LINKED (USD) P ACC EUR HEDGED;UBS AM (EUROPE) S.A;RENTA FIJA INTERNACIONAL;EUR;2;1.02;0.76;100;-0.45;4.66;0.11;2.8;-9.66;3.0077
LU0455550201;UBS (LUX) BOND SICAV-GLOB;UBS (LUX) BOND SICAV-GLOBAL INFLATION-LINKED (USD) P ACC USD;UBS AM (EUROPE) S.A;RENTA FIJA INTERNACIONAL;USD;2;0.97;0.72;100;2.59;-5.39;8.13;1.36;-2.09;3.0496
LU1806346737;ROBECOSAM SDG CREDIT INCO;ROBECO CREDIT INCOME BX DIS USD HEDGED;ROBECO;RENTA FIJA INTERNACIONAL;USD;2;1.21;1;100;-2.55;-9.04;5.18;-1.94;-8.8;2.7626
LU0187076913;ROBECO EMERGING MARKETS E;ROBECO EMERGING MARKETS EQUITIES D EUR;ROBECO;RENTA VARIABLE INTERNACIONAL;EUR;4;1.76;1.5;300;24.48;23.65;11.27;9.93;-16.17;25.9254
LU0269635834;ROBECO EMERGING MARKETS E;ROBECO EMERGING MARKETS EQUITIES D USD;ROBECO;RENTA VARIABLE INTERNACIONAL;USD;4;1.76;1.5;200;24.54;23.99;10.94;9.9;-16.5;28.7803
LU0854930277;ROBECO GLOBAL CONSERVATIV;ROBECO GLOBAL CONSERVATIVE EQUITIES D ACC USD;ROBECO;RENTA VARIABLE INTERNACIONAL;USD;3;1.01;0.8;100;11.71;4.69;19.79;4.87;-3.75;7.5123
LU1260070781;ROBECO GLOBAL PREMIUM EQU;ROBECO GLOBAL PREMIUM EQUITIES D USD HDG ACC;ROBECO;RENTA VARIABLE INTERNACIONAL;USD;4;1.46;1.25;100;15.47;12.09;20.11;9.85;6.5;8.9491
LU2145460353;ROBECO GLOBAL SDG EQUITIE;ROBECO GLOBAL SDG EQUITIES D ACC EUR;ROBECO;RENTA VARIABLE INTERNACIONAL;EUR;4;1.61;1.4;100;10.3;0.08;20.3;12.75;-13.77;9.7928
LU1023061473;BGF EUROPEAN VALUE A2 USD;BGF EUROPEAN VALUE A2 USD HDG ACC;BLACKROCK;RENTA VARIABLE EURO;USD;4;1.81;1.5;5000;12.68;11.95;21.12;12.49;4.41;12.6292
LU0589446532;BSF FIXED INCOME STRATEGI;BLACKROCK ESG FIXED INCOME STRATEGIES A2 CHF HDG ACC;BLACKROCK;RENTA FIJA INTERNACIONAL;CHF;2;1.27;1;5000;-3.7;3.65;-0.47;7.1;3.58;2.0491
LU0313923228;BSF EUROPEAN OPPORTUNITIE;BSF EUROPEAN OPPORTUNITIES EXTENSION STRATEGIES A2 EUR;BLACKROCK;RENTA VARIABLE EURO;EUR;4;1.86;1.5;5000;0.82;5.32;6.26;21.18;-24.64;16.2105
